dataset,label,metric,series,mean_spearman,n_runs
gpqa,correct,entropy,d2,-0.0786425912247212,7625
gpqa,correct,gini,abs_d1,-0.07578263246578251,7625
gpqa,correct,gini,abs_d2,-0.06437728188919124,7625
gpqa,correct,gini,avg,0.33988953190148213,7625
gpqa,correct,gini,d1,0.19914041695735674,7625
gpqa,correct,gini,d2,0.08009827126167532,7625
gpqa,incorrect,conf,abs_d1,-0.09565008274303818,5047
gpqa,incorrect,conf,abs_d2,-0.08790436747263358,5047
gpqa,incorrect,conf,avg,0.03138828423281918,5047
gpqa,incorrect,conf,d1,0.13384377018125757,5047
gpqa,incorrect,conf,d2,0.04464940096617213,5047
gpqa,incorrect,entropy,abs_d1,-0.029140093938459885,5047
gpqa,incorrect,entropy,abs_d2,-0.028869932178768296,5047
gpqa,incorrect,entropy,avg,-0.28156668100993965,5047
gpqa,incorrect,entropy,d1,-0.19607451543450186,5047
gpqa,incorrect,entropy,d2,-0.08616259235490158,5047
gpqa,incorrect,gini,abs_d1,-0.019328425853104507,5047
gpqa,incorrect,gini,abs_d2,-0.02114632414016223,5047
gpqa,incorrect,gini,avg,0.2871327367616173,5047
gpqa,incorrect,gini,d1,0.20089848880112268,5047
gpqa,incorrect,gini,d2,0.08948770223332958,5047
hmmt25,correct,conf,abs_d1,-0.08383722093216721,933
hmmt25,correct,conf,abs_d2,-0.06514140745620117,933
hmmt25,correct,conf,avg,0.32084438730043885,933
hmmt25,correct,conf,d1,0.18848238731064015,933
hmmt25,correct,conf,d2,0.07610354212702133,933
hmmt25,correct,entropy,abs_d1,-0.14535278424713427,933
hmmt25,correct,entropy,abs_d2,-0.1186538043165915,933
hmmt25,correct,entropy,avg,-0.430449408339345,933
hmmt25,correct,entropy,d1,-0.20728182804170284,933
hmmt25,correct,entropy,d2,-0.09109302570685192,933
hmmt25,correct,gini,abs_d1,-0.13112875142773345,933
hmmt25,correct,gini,abs_d2,-0.10664761276084196,933
hmmt25,correct,gini,avg,0.4323982732793108,933
hmmt25,correct,gini,d1,0.20811833701835736,933
hmmt25,correct,gini,d2,0.08992103569945212,933
hmmt25,incorrect,conf,abs_d1,-0.07091080846995607,987
hmmt25,incorrect,conf,abs_d2,-0.05781601213546344,987
hmmt25,incorrect,conf,avg,0.31622915693626225,987
hmmt25,incorrect,conf,d1,0.17444463476961428,987
hmmt25,incorrect,conf,d2,0.07061113087169359,987
hmmt25,incorrect,entropy,abs_d1,-0.11635165309316249,987
hmmt25,incorrect,entropy,abs_d2,-0.09914597328828786,987
hmmt25,incorrect,entropy,avg,-0.4555134254516306,987
hmmt25,incorrect,entropy,d1,-0.20434218594652115,987
hmmt25,incorrect,entropy,d2,-0.09021432348008804,987
hmmt25,incorrect,gini,abs_d1,-0.09921205601227985,987
hmmt25,incorrect,gini,abs_d2,-0.08462682745441273,987
hmmt25,incorrect,gini,avg,0.4571999279807236,987
hmmt25,incorrect,gini,d1,0.20530349097152076,987
hmmt25,incorrect,gini,d2,0.08907281377100194,987
livecodebench_v5,correct,conf,abs_d1,-0.0669691992660725,6273
livecodebench_v5,correct,conf,abs_d2,-0.05707655105940997,6273
livecodebench_v5,correct,conf,avg,0.21013759483249728,6273
livecodebench_v5,correct,conf,d1,0.12284716555474315,6273
livecodebench_v5,correct,conf,d2,0.04243709058969728,6273
