threshold,loo_mean,pooled_mean,loo_aime24,loo_aime25,loo_brumo25,loo_gpqa,loo_hmmt25,loo_livecodebench_v5
0.1,0.716852154277304,0.6453608247422681,0.8333333333333334,0.7666666666666667,0.8666666666666667,0.6262626262626263,0.6333333333333333,0.5748502994011976
0.15,0.7141343575475313,0.6494845360824743,0.8333333333333334,0.7666666666666667,0.8333333333333334,0.6313131313131313,0.6333333333333333,0.5868263473053892
0.2,0.7170084074275692,0.6453608247422681,0.8,0.7666666666666667,0.8666666666666667,0.6212121212121212,0.6666666666666666,0.5808383233532934
0.25,0.7075445069457046,0.6556701030927835,0.8333333333333334,0.7,0.8666666666666667,0.6464646464646465,0.6,0.5988023952095808
0.3,0.7105748099760077,0.6515463917525773,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.6313131313131313,0.6,0.5988023952095808
0.35,0.7020010484082341,0.6309278350515464,0.8,0.7333333333333333,0.8666666666666667,0.5858585858585859,0.6333333333333333,0.592814371257485
0.4,0.6756305570676827,0.6144329896907217,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.5909090909090909,0.6333333333333333,0.562874251497006
0.45,0.6868979213290589,0.6185567010309279,0.7666666666666667,0.7333333333333333,0.8,0.5858585858585859,0.6666666666666666,0.5688622754491018
0.5,0.669762495211597,0.6123711340206186,0.7666666666666667,0.7,0.7666666666666667,0.601010101010101,0.6333333333333333,0.5508982035928144
0.55,0.676928970342144,0.6391752577319587,0.7333333333333333,0.7666666666666667,0.7666666666666667,0.6414141414141414,0.5666666666666667,0.5868263473053892
0.6,0.6779995564426703,0.6206185567010309,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.6111111111111112,0.6333333333333333,0.5568862275449101
