method_id,comparison_type,domain,anchor_from_pct,anchor_to_pct,feature,channel,family,w_from,w_to,sign_consistent,cosine_sim,weight_ratio
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_late_convergence,raw,trajectory,0.04310064869674118,0.0016290785751105503,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_max_reflection,rank,trajectory,-0.7317079369667612,-0.003713164903749978,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_max_reflection,raw,trajectory,4.117342508356014,0.021283685568060057,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_novelty,rank,trajectory,-0.7301902351056618,-0.0019070658065093735,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_novelty,raw,trajectory,-30.636401361063943,-0.00021043215896099224,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_reflection_count,rank,trajectory,-1.3407649412117475,-0.004867858645463127,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,10,10,traj_reflection_count,raw,trajectory,0.23939022622142905,0.0008726590297222776,True,0.6079313148627759,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_rows_bank,rank,availability_meta,-0.0029343552924465813,0.01113291756406871,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_rows_bank,raw,availability_meta,-2.2581107599242973e-21,-6.189414641355557e-25,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_conf,rank,availability_meta,-0.002934355292446747,0.011132917564068706,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_conf,raw,availability_meta,-7.381328191051259e-17,1.2322151748497099e-17,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_gini,rank,availability_meta,-0.002934355292446747,0.011132917564068706,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_gini,raw,availability_meta,-3.769426032607642e-17,-7.901663732670106e-19,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_logprob,rank,availability_meta,-0.0029343552924465813,0.011132917564068706,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_logprob,raw,availability_meta,-1.733076348526896e-22,-4.535288970009602e-32,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_neg_entropy,rank,availability_meta,-0.002934355292446747,0.011132917564068706,False,0.5744198605150207,nan
