method_id,domain,anchor_pct,family,channel,signed_weight_sum,abs_weight_sum,mean_abs_contribution,discriminative_delta
es_svd_ms_rr_r1,math,10,confidence,raw,0.41585479081919263,0.41585479081919263,7.338248332072396,0.5282003079392632
es_svd_ms_rr_r1,math,10,confidence,rank,0.3356726402154209,0.3356726402154209,7.338248332072396,0.5282003079392632
es_svd_ms_rr_r1,math,10,uncertainty,raw,-6.978842523194108,6.978842523194108,0.9938958828502964,0.4379841617121448
es_svd_ms_rr_r1,math,10,uncertainty,rank,2.076213654101938,2.076213654101938,0.9938958828502964,0.4379841617121448
es_svd_ms_rr_r1,math,10,self_cert_logprob,raw,-1.7269054630259322,1.7269054630259322,8.458900786409,0.9984885769918852
es_svd_ms_rr_r1,math,10,self_cert_logprob,rank,-1.8562897481468452,4.029638943934968,8.458900786409,0.9984885769918852
es_svd_ms_rr_r1,math,10,trajectory,raw,12.51157779152703,73.78438051365491,19.25699298747669,1.4054273384117733
es_svd_ms_rr_r1,math,10,trajectory,rank,-4.729505561434894,4.729505561434894,19.25699298747669,1.4054273384117733
es_svd_ms_rr_r1,math,10,availability_meta,raw,-2.1810264304035074e-16,2.1810745725824246e-16,0.11122396586064524,0.08474206922715848
es_svd_ms_rr_r1,math,10,availability_meta,rank,0.22244793172129096,0.22244793172129096,0.11122396586064524,0.08474206922715848
es_svd_ms_rr_r1,math,10,confidence,raw+rank,0.7515274310346136,0.7515274310346136,7.338248332072396,0.5282003079392632
es_svd_ms_rr_r1,math,10,uncertainty,raw+rank,-4.902628869092171,9.055056177296047,0.9938958828502964,0.4379841617121448
es_svd_ms_rr_r1,math,10,self_cert_logprob,raw+rank,-3.583195211172777,5.7565444069609,8.458900786409,0.9984885769918852
es_svd_ms_rr_r1,math,10,trajectory,raw+rank,7.7820722300921314,78.5138860750898,19.25699298747669,1.4054273384117733
es_svd_ms_rr_r1,math,10,availability_meta,raw+rank,0.22244793172129074,0.22244793172129118,0.11122396586064524,0.08474206922715848
es_svd_ms_rr_r1,math,40,confidence,raw,0.29317869212521586,0.29317869212521586,4.976193643171535,0.5316356435663699
es_svd_ms_rr_r1,math,40,confidence,rank,0.3832935015516837,0.3832935015516837,4.976193643171535,0.5316356435663699
es_svd_ms_rr_r1,math,40,uncertainty,raw,-2.9492523434293263,3.11288253354844,1.2593600277911359,0.1126274833214072
es_svd_ms_rr_r1,math,40,uncertainty,rank,0.017012898986165072,0.28476822315564854,1.2593600277911359,0.1126274833214072
es_svd_ms_rr_r1,math,40,self_cert_logprob,raw,-2.5315734380911152,2.5315734380911152,12.189010230487668,0.15563413229443723
es_svd_ms_rr_r1,math,40,self_cert_logprob,rank,-0.21841946764078102,0.21841946764078102,12.189010230487668,0.15563413229443723
es_svd_ms_rr_r1,math,40,trajectory,raw,-3.4085506859273784,102.05634981206971,20.82197880843856,1.0402117784459355
es_svd_ms_rr_r1,math,40,trajectory,rank,-2.299997230905434,5.7006930218548435,20.82197880843856,1.0402117784459355
es_svd_ms_rr_r1,math,40,availability_meta,raw,-1.116086291463631e-16,1.1169759214749665e-16,0.008803065877340213,0.0037727425188600425
es_svd_ms_rr_r1,math,40,availability_meta,rank,-0.017606131754680197,0.017606131754680197,0.008803065877340213,0.0037727425188600425
es_svd_ms_rr_r1,math,40,confidence,raw+rank,0.6764721936768996,0.6764721936768996,4.976193643171535,0.5316356435663699
es_svd_ms_rr_r1,math,40,uncertainty,raw+rank,-2.9322394444431614,3.3976507567040883,1.2593600277911359,0.1126274833214072
es_svd_ms_rr_r1,math,40,self_cert_logprob,raw+rank,-2.749992905731896,2.749992905731896,12.189010230487668,0.15563413229443723
es_svd_ms_rr_r1,math,40,trajectory,raw+rank,-5.7085479168328135,107.75704283392454,20.82197880843856,1.0402117784459355
es_svd_ms_rr_r1,math,40,availability_meta,raw+rank,-0.01760613175468031,0.01760613175468031,0.008803065877340213,0.0037727425188600425
es_svd_ms_rr_r1,math,70,confidence,raw,0.665354314766284,0.665354314766284,10.499787863609642,0.6138022338481322
es_svd_ms_rr_r1,math,70,confidence,rank,0.26118685951828224,0.26118685951828224,10.499787863609642,0.6138022338481322
es_svd_ms_rr_r1,math,70,uncertainty,raw,-16.453192756840114,16.453192756840114,3.912726625159407,0.24168775181573876
es_svd_ms_rr_r1,math,70,uncertainty,rank,0.9061596707763538,1.0879446173936536,3.912726625159407,0.24168775181573876
es_svd_ms_rr_r1,math,70,self_cert_logprob,raw,-3.2520215618557367,3.2520215618557367,36.38111084863755,0.10941789581116623
es_svd_ms_rr_r1,math,70,self_cert_logprob,rank,0.07004423214779383,0.16623401464533727,36.38111084863755,0.10941789581116623
es_svd_ms_rr_r1,math,70,trajectory,raw,-4.59706782264801,106.53126184160784,17.569934144552548,0.405336411935163
es_svd_ms_rr_r1,math,70,trajectory,rank,-1.2750561509827445,6.043122443419302,17.569934144552548,0.405336411935163
es_svd_ms_rr_r1,math,70,availability_meta,raw,-8.365407128979267e-17,8.39804720618995e-17,0.0773644076178094,0.06324233321138384
es_svd_ms_rr_r1,math,70,availability_meta,rank,-0.1547288152356187,0.1547288152356187,0.0773644076178094,0.06324233321138384
es_svd_ms_rr_r1,math,70,confidence,raw+rank,0.9265411742845663,0.9265411742845663,10.499787863609642,0.6138022338481322
es_svd_ms_rr_r1,math,70,uncertainty,raw+rank,-15.547033086063758,17.541137374233767,3.912726625159407,0.24168775181573876
es_svd_ms_rr_r1,math,70,self_cert_logprob,raw+rank,-3.181977329707943,3.418255576501074,36.38111084863755,0.10941789581116623
es_svd_ms_rr_r1,math,70,trajectory,raw+rank,-5.872123973630752,112.57438428502715,17.569934144552548,0.405336411935163
es_svd_ms_rr_r1,math,70,availability_meta,raw+rank,-0.1547288152356188,0.1547288152356188,0.0773644076178094,0.06324233321138384
es_svd_ms_rr_r1,math,100,confidence,raw,1.1285843585925037,1.1285843585925037,17.79926125466523,1.2147297807041717
es_svd_ms_rr_r1,math,100,confidence,rank,0.8406343993717544,0.8406343993717544,17.79926125466523,1.2147297807041717
es_svd_ms_rr_r1,math,100,uncertainty,raw,-40.03403131303615,40.03403131303615,13.832399193287598,0.16984447285329507
es_svd_ms_rr_r1,math,100,uncertainty,rank,2.584203403973544,3.123353983614124,13.832399193287598,0.16984447285329507
es_svd_ms_rr_r1,math,100,self_cert_logprob,raw,-4.36551767108922,6.601741069331892,63.765939225625736,0.14779563784922445
es_svd_ms_rr_r1,math,100,self_cert_logprob,rank,-0.015835710307822076,0.28644131734512446,63.765939225625736,0.14779563784922445
es_svd_ms_rr_r1,math,100,trajectory,raw,6.0094782165013285,89.59659923777703,15.9472916131576,0.7962360171486098
es_svd_ms_rr_r1,math,100,trajectory,rank,0.21883539494317605,5.343909584380512,15.9472916131576,0.7962360171486098
es_svd_ms_rr_r1,math,100,availability_meta,raw,6.197367295208733e-18,6.226045108975417e-18,0.6166091376278302,0.5529907345392446
es_svd_ms_rr_r1,math,100,availability_meta,rank,-1.2332182752556604,1.2332182752556604,0.6166091376278302,0.5529907345392446
es_svd_ms_rr_r1,math,100,confidence,raw+rank,1.9692187579642582,1.9692187579642582,17.79926125466523,1.2147297807041717
es_svd_ms_rr_r1,math,100,uncertainty,raw+rank,-37.44982790906261,43.157385296650276,13.832399193287598,0.16984447285329507
es_svd_ms_rr_r1,math,100,self_cert_logprob,raw+rank,-4.381353381397042,6.888182386677016,63.765939225625736,0.14779563784922445
es_svd_ms_rr_r1,math,100,trajectory,raw+rank,6.228313611444509,94.94050882215753,15.9472916131576,0.7962360171486098
es_svd_ms_rr_r1,math,100,availability_meta,raw+rank,-1.2332182752556604,1.2332182752556604,0.6166091376278302,0.5529907345392446
es_svd_ms_rr_r1,science,10,confidence,raw,0.002306963952813313,0.002306963952813313,0.03296784681609518,0.0005477233288472619
es_svd_ms_rr_r1,science,10,confidence,rank,-0.004992711514945767,0.004992711514945767,0.03296784681609518,0.0005477233288472619
es_svd_ms_rr_r1,science,10,uncertainty,raw,0.09555463339165794,0.09555463339165794,0.00826909099888507,0.0004101132761462154
es_svd_ms_rr_r1,science,10,uncertainty,rank,-0.016907152308776936,0.016977825252810236,0.00826909099888507,0.0004101132761462154
es_svd_ms_rr_r1,science,10,self_cert_logprob,raw,-0.020752603829604893,0.032317242830879715,0.07571331463998442,0.0001882940484019685
es_svd_ms_rr_r1,science,10,self_cert_logprob,rank,0.003212771619163792,0.004734706345352689,0.07571331463998442,0.0001882940484019685
es_svd_ms_rr_r1,science,10,trajectory,raw,0.1324981987365349,0.1329190630544569,0.003038906958738365,0.00041739798526613486
es_svd_ms_rr_r1,science,10,trajectory,rank,-0.018659884068522703,0.018659884068522703,0.003038906958738365,0.00041739798526613486
es_svd_ms_rr_r1,science,10,availability_meta,raw,2.4042044323791796e-19,4.829257686278298e-19,0.001207935856563376,0.00038347170049630986
es_svd_ms_rr_r1,science,10,availability_meta,rank,0.0024158717131267517,0.0024158717131267517,0.001207935856563376,0.00038347170049630986
es_svd_ms_rr_r1,science,10,confidence,raw+rank,-0.002685747562132454,0.00729967546775908,0.03296784681609518,0.0005477233288472619
es_svd_ms_rr_r1,science,10,uncertainty,raw+rank,0.078647481082881,0.11253245864446818,0.00826909099888507,0.0004101132761462154
es_svd_ms_rr_r1,science,10,self_cert_logprob,raw+rank,-0.017539832210441104,0.037051949176232404,0.07571331463998442,0.0001882940484019685
es_svd_ms_rr_r1,science,10,trajectory,raw+rank,0.1138383146680122,0.1515789471229796,0.003038906958738365,0.00041739798526613486
es_svd_ms_rr_r1,science,10,availability_meta,raw+rank,0.002415871713126752,0.002415871713126752,0.001207935856563376,0.00038347170049630986
es_svd_ms_rr_r1,science,40,confidence,raw,0.09864959320327928,0.09864959320327928,1.29999824061633,0.025097666237654526
es_svd_ms_rr_r1,science,40,confidence,rank,-0.1156023337821145,0.1156023337821145,1.29999824061633,0.025097666237654526
es_svd_ms_rr_r1,science,40,uncertainty,raw,1.9983432240329924,1.9983432240329924,0.15734958528648368,0.019331317343489807
es_svd_ms_rr_r1,science,40,uncertainty,rank,-0.21252081523985483,0.23461349310631122,0.15734958528648368,0.019331317343489807
es_svd_ms_rr_r1,science,40,self_cert_logprob,raw,-0.5199916546867448,0.6335088116991516,0.8430582153922267,0.0005782690801288126
es_svd_ms_rr_r1,science,40,self_cert_logprob,rank,0.03941137091808402,0.042513111362600026,0.8430582153922267,0.0005782690801288126
es_svd_ms_rr_r1,science,40,trajectory,raw,2.279938480279222,2.4719457130192346,0.03871889123910263,0.0019379546189925503
es_svd_ms_rr_r1,science,40,trajectory,rank,-0.2838979015892338,0.32901260167544166,0.03871889123910263,0.0019379546189925503
es_svd_ms_rr_r1,science,40,availability_meta,raw,1.1544938031100845e-17,1.3125631557663596e-17,0.03339875269220612,0.006361667179467845
es_svd_ms_rr_r1,science,40,availability_meta,rank,0.06679750538441225,0.06679750538441225,0.03339875269220612,0.006361667179467845
es_svd_ms_rr_r1,science,40,confidence,raw+rank,-0.016952740578835224,0.21425192698539378,1.29999824061633,0.025097666237654526
es_svd_ms_rr_r1,science,40,uncertainty,raw+rank,1.7858224087931376,2.2329567171393037,0.15734958528648368,0.019331317343489807
es_svd_ms_rr_r1,science,40,self_cert_logprob,raw+rank,-0.4805802837686607,0.6760219230617517,0.8430582153922267,0.0005782690801288126
es_svd_ms_rr_r1,science,40,trajectory,raw+rank,1.9960405786899889,2.800958314694676,0.03871889123910263,0.0019379546189925503
es_svd_ms_rr_r1,science,40,availability_meta,raw+rank,0.06679750538441226,0.06679750538441226,0.03339875269220612,0.006361667179467845
es_svd_ms_rr_r1,science,70,confidence,raw,0.13374065449659372,0.13374065449659372,1.71985554426513,0.0186154731688295
es_svd_ms_rr_r1,science,70,confidence,rank,-0.0838887667296268,0.0838887667296268,1.71985554426513,0.0186154731688295
es_svd_ms_rr_r1,science,70,uncertainty,raw,1.3915801084197263,1.3915801084197263,0.17965095816650703,0.006817122146919513
es_svd_ms_rr_r1,science,70,uncertainty,rank,-0.12248947406778428,0.12297264319016339,0.17965095816650703,0.006817122146919513
es_svd_ms_rr_r1,science,70,self_cert_logprob,raw,-0.5850278310570112,0.6675778804736331,0.6766405405329012,0.026620989637041736
es_svd_ms_rr_r1,science,70,self_cert_logprob,rank,0.017807891660946908,0.019806936831163593,0.6766405405329012,0.026620989637041736
es_svd_ms_rr_r1,science,70,trajectory,raw,2.1093662880807735,2.6184943904782325,0.10549998058959169,0.049202796227088515
es_svd_ms_rr_r1,science,70,trajectory,rank,-0.20925889766957828,0.3106476094098791,0.10549998058959169,0.049202796227088515
es_svd_ms_rr_r1,science,70,availability_meta,raw,3.2551660118342106e-19,1.878338496162101e-18,0.025246544975749435,0.03205910473111038
es_svd_ms_rr_r1,science,70,availability_meta,rank,0.05049308995149886,0.05049308995149886,0.025246544975749435,0.03205910473111038
es_svd_ms_rr_r1,science,70,confidence,raw+rank,0.049851887766966925,0.21762942122622056,1.71985554426513,0.0186154731688295
es_svd_ms_rr_r1,science,70,uncertainty,raw+rank,1.2690906343519421,1.51455275160989,0.17965095816650703,0.006817122146919513
es_svd_ms_rr_r1,science,70,self_cert_logprob,raw+rank,-0.5672199393960642,0.6873848173047967,0.6766405405329012,0.026620989637041736
es_svd_ms_rr_r1,science,70,trajectory,raw+rank,1.900107390411195,2.929141999888112,0.10549998058959169,0.049202796227088515
es_svd_ms_rr_r1,science,70,availability_meta,raw+rank,0.05049308995149886,0.05049308995149886,0.025246544975749435,0.03205910473111038
es_svd_ms_rr_r1,science,100,confidence,raw,0.7963561538335835,0.7963561538335835,10.166487383059481,0.17421274094622952
es_svd_ms_rr_r1,science,100,confidence,rank,-0.2160514338354206,0.2160514338354206,10.166487383059481,0.17421274094622952
es_svd_ms_rr_r1,science,100,uncertainty,raw,15.714144451697162,15.714144451697162,6.350253327926819,0.04795836067258552
es_svd_ms_rr_r1,science,100,uncertainty,rank,-0.9856984119647139,0.9856984119647139,6.350253327926819,0.04795836067258552
es_svd_ms_rr_r1,science,100,self_cert_logprob,raw,-3.251034010728408,4.837594578168079,10.485910713337804,0.0034495983463678215
es_svd_ms_rr_r1,science,100,self_cert_logprob,rank,0.1683613980379367,0.34592052860019024,10.485910713337804,0.0034495983463678215
es_svd_ms_rr_r1,science,100,trajectory,raw,12.957571818190122,13.311849328459683,0.3711643911145052,0.13752563555199493
es_svd_ms_rr_r1,science,100,trajectory,rank,-0.7509527631133833,1.3563218583262353,0.3711643911145052,0.13752563555199493
es_svd_ms_rr_r1,science,100,availability_meta,raw,4.291218569350309e-18,1.4344003486635594e-17,0.06659540141636099,0.01479897809252465
es_svd_ms_rr_r1,science,100,availability_meta,rank,0.13319080283272186,0.13319080283272186,0.06659540141636099,0.01479897809252465
es_svd_ms_rr_r1,science,100,confidence,raw+rank,0.5803047199981629,1.0124075876690042,10.166487383059481,0.17421274094622952
es_svd_ms_rr_r1,science,100,uncertainty,raw+rank,14.728446039732448,16.699842863661882,6.350253327926819,0.04795836067258552
es_svd_ms_rr_r1,science,100,self_cert_logprob,raw+rank,-3.0826726126904713,5.183515106768269,10.485910713337804,0.0034495983463678215
es_svd_ms_rr_r1,science,100,trajectory,raw+rank,12.20661905507674,14.66817118678592,0.3711643911145052,0.13752563555199493
es_svd_ms_rr_r1,science,100,availability_meta,raw+rank,0.1331908028327219,0.1331908028327219,0.06659540141636099,0.01479897809252465
