method_id,domain,anchor_pct,rep_feature,feature,channel,w_orig,family
es_svd_ms_rr_r1,math,10,tok_logprob_prefix::raw,tok_logprob_prefix,raw,-0.44608534132775624,self_cert_logprob
es_svd_ms_rr_r1,math,10,tok_logprob_recency::raw,tok_logprob_recency,raw,-0.616477454321084,self_cert_logprob
es_svd_ms_rr_r1,math,10,traj_continuity::raw,traj_continuity,raw,38.748145769316785,trajectory
es_svd_ms_rr_r1,math,10,traj_reflection_count::raw,traj_reflection_count,raw,0.23939022622142905,trajectory
es_svd_ms_rr_r1,math,10,traj_novelty::raw,traj_novelty,raw,-30.636401361063943,trajectory
es_svd_ms_rr_r1,math,10,traj_max_reflection::raw,traj_max_reflection,raw,4.117342508356014,trajectory
es_svd_ms_rr_r1,math,10,traj_late_convergence::raw,traj_late_convergence,raw,0.04310064869674118,trajectory
es_svd_ms_rr_r1,math,10,has_tok_conf::raw,has_tok_conf,raw,-6.173783784172514e-17,availability_meta
es_svd_ms_rr_r1,math,10,has_tok_gini::raw,has_tok_gini,raw,-3.108490614358705e-17,availability_meta
es_svd_ms_rr_r1,math,10,has_tok_neg_entropy::raw,has_tok_neg_entropy,raw,-6.213632108106155e-17,availability_meta
es_svd_ms_rr_r1,math,10,has_tok_selfcert::raw,has_tok_selfcert,raw,-6.217510103489782e-17,availability_meta
es_svd_ms_rr_r1,math,10,has_tok_logprob::raw,has_tok_logprob,raw,2.407108945845742e-21,availability_meta
es_svd_ms_rr_r1,math,10,has_rows_bank::raw,has_rows_bank,raw,-9.708840480250177e-19,availability_meta
es_svd_ms_rr_r1,math,10,tok_conf_prefix::rank,tok_conf_prefix,rank,0.1568466308274384,confidence
es_svd_ms_rr_r1,math,10,tok_conf_recency::rank,tok_conf_recency,rank,0.17882600938798252,confidence
es_svd_ms_rr_r1,math,10,tok_gini_prefix::rank,tok_gini_prefix,rank,0.48411033270682163,uncertainty
es_svd_ms_rr_r1,math,10,tok_gini_tail::rank,tok_gini_tail,rank,0.28489950437816786,uncertainty
es_svd_ms_rr_r1,math,10,tok_gini_slope::rank,tok_gini_slope,rank,0.2205292191228869,uncertainty
es_svd_ms_rr_r1,math,10,tok_neg_entropy_prefix::rank,tok_neg_entropy_prefix,rank,0.5353053219266936,uncertainty
es_svd_ms_rr_r1,math,10,tok_neg_entropy_recency::rank,tok_neg_entropy_recency,rank,0.5513692759673678,uncertainty
es_svd_ms_rr_r1,math,10,tok_selfcert_prefix::rank,tok_selfcert_prefix,rank,0.5353053219266936,self_cert_logprob
es_svd_ms_rr_r1,math,10,tok_selfcert_recency::rank,tok_selfcert_recency,rank,0.5513692759673678,self_cert_logprob
es_svd_ms_rr_r1,math,10,tok_logprob_prefix::rank,tok_logprob_prefix,rank,-1.5037356559677257,self_cert_logprob
es_svd_ms_rr_r1,math,10,tok_logprob_recency::rank,tok_logprob_recency,rank,-1.4392286900731808,self_cert_logprob
es_svd_ms_rr_r1,math,10,traj_continuity::rank,traj_continuity,rank,-1.7548133785722178,trajectory
es_svd_ms_rr_r1,math,10,traj_reflection_count::rank,traj_reflection_count,rank,-1.3407649412117475,trajectory
