method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
neural_semisup_freeze,anchor,coding,70,10,16,,,,,,0.5579725438880369,0.50625,0.68,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,10,16,,,,,,0.5576989520651493,0.58125,0.6,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,20,16,0.8598160720302203,0.9780219780219781,0.1,0.8763109550210894,0.75,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,20,16,0.6693124643150917,0.9013020833333333,0.1,0.6537728749188096,0.75,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,20,16,0.5640858359168218,0.54375,0.2,0.5242347636713834,0.44,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,20,16,0.817481936982414,0.9609731125356125,0.1,0.8268580483316939,0.75,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,20,16,,,,,,0.4638866610697597,0.45625,0.52,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,20,16,,,,,,0.5242347636713834,0.5375,0.44,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,50,16,0.8935872844862341,0.9774725274725276,0.1,0.9440071242891348,0.7857142857142857,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,50,16,0.6558666040259287,0.8825520833333333,0.1,0.6525196075234587,0.7,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,50,16,0.47203844668633393,0.426875,,0.4092136345657472,0.52,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,50,16,0.8407604666061662,0.9563790954415955,0.1,0.879232120563429,0.7666666666666667,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,50,16,,,,,,0.4237968604165787,0.3125,0.6,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,50,16,,,,,,0.4092136345657472,0.275,0.52,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,100,16,0.8555861570625173,0.9565934065934067,0.1,0.9471214438652045,0.7857142857142857,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,100,16,0.6675143972852065,0.8997395833333334,0.1,0.6653185588135515,0.7,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,100,16,0.4933182623323469,0.44875,,0.39094864446977123,0.52,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,100,16,0.8137924326675594,0.9439592236467236,0.1,0.8844985805203928,0.7666666666666667,,,,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,100,16,,,,,,0.48800026264815,0.4,0.6,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,100,16,,,,,,0.39094864446977123,0.26875,0.52,74.76680682672702,14,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,1,24,0.8084719106242567,0.9587912087912089,0.1,0.8504390918843956,0.75,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,1,24,0.5486554665429152,0.7937500000000001,1.0,0.6430215891434139,0.6833333333333333,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
