method_id,domain,anchor_pct,target_level,target_policy,n_cases,mean_target_contribution,mean_score_drop,median_score_drop,mean_margin_drop,selection_flip_rate,correct_to_wrong_rate,wrong_to_correct_rate,mean_accuracy_delta,score_drop_ratio_vs_low,score_drop_ratio_vs_random,flip_rate_ratio_vs_low
es_svd_math_rr_r1,math,10,family,low,210,0.09718515889092418,-0.028284527117368653,0.09180390832942187,-0.026359884713447777,0.18571428571428572,0.006329113924050633,0.019230769230769232,0.0,nan,nan,nan
es_svd_math_rr_r1,math,10,family,random,210,-8.505062242716857,-5.562097896675955,-5.673378183968385,-5.527947163700675,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,10,family,top,210,7.109359993089629,7.10935999308963,7.147850150952199,7.1122458647556535,1.0,0.08227848101265822,0.07692307692307693,-0.04285714285714286,-251.35155923197286,-1.2781795871191617,5.384615384615384
es_svd_math_rr_r1,math,40,family,low,210,-0.008579495950296653,-0.008579495950295413,-0.008663334672935452,-0.008721888701447801,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,40,family,random,210,-12.100730624634672,-11.904163608489082,-12.05642153747408,-11.9038975031881,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,40,family,top,210,4.996519593419273,4.996519593419273,5.040800903879675,4.999996178467361,0.9904761904761905,0.06369426751592357,0.16981132075471697,-0.004761904761904762,-582.3791540162952,-0.41972874010704636,nan
es_svd_math_rr_r1,math,70,family,low,210,-0.07777374310785078,-0.07777374310785042,-0.07859241408793327,-0.07895328347686267,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,70,family,random,210,-20.914740850758182,-21.501051879154826,-22.189260423142386,-21.524394548726914,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,70,family,top,210,10.865379468784223,10.865379468784221,11.012951734477227,10.867839810730406,0.9952380952380953,0.037267080745341616,0.16326530612244897,0.009523809523809525,-139.70498312929314,-0.5053417632705756,nan
es_svd_math_rr_r1,math,100,family,low,210,-0.6785962996115803,-0.6785962996115803,-0.7242710505469765,-0.6892486764569178,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,100,family,random,210,-20.06021122720638,-20.270168339310327,-20.27940677471879,-20.27546140050619,0.0,0.0,0.0,0.0,nan,nan,nan
es_svd_math_rr_r1,math,100,family,top,210,18.680664324481356,18.680664324481356,18.837939171853034,18.68781294783888,1.0,0.08695652173913043,0.16326530612244897,-0.02857142857142857,-27.528391084911494,-0.9215840742799153,nan
es_svd_math_rr_r1,math,10,feature,low,210,0.016507849553169498,0.0485106841181348,0.016183381276019704,0.04940213336052298,0.07142857142857142,0.0,0.019230769230769232,0.004761904761904762,nan,nan,nan
es_svd_math_rr_r1,math,10,feature,random,210,-0.15755485911194914,-0.1332853204605501,-0.21845449802328426,-0.12983725652911698,0.18095238095238095,0.012658227848101266,0.019230769230769232,-0.004761904761904762,nan,nan,nan
