protocol,seed_or_iter,fold,n_train_groups,n_test_groups,n_test_pos,n_test_neg,is_single_class,auroc,balanced_acc
bootstrap,55,,99,68,2599,1753,False,0.5314,
bootstrap,56,,99,68,2640,1712,False,0.4333,
bootstrap,57,,109,58,1921,1791,False,0.4878,
bootstrap,58,,113,54,2044,1412,False,0.4815,
bootstrap,59,,109,58,2302,1410,False,0.4688,
bootstrap,60,,106,61,2253,1651,False,0.5520,
bootstrap,61,,102,65,2637,1523,False,0.4429,
bootstrap,62,,103,64,2275,1821,False,0.4530,
bootstrap,63,,109,58,2109,1603,False,0.5345,
bootstrap,64,,103,64,2122,1974,False,0.4921,
bootstrap,65,,106,61,2380,1524,False,0.5052,
bootstrap,66,,105,62,2427,1541,False,0.4865,
bootstrap,67,,106,61,2604,1300,False,0.4996,
bootstrap,68,,107,60,2505,1335,False,0.5086,
bootstrap,69,,97,70,2539,1941,False,0.5429,
bootstrap,70,,116,51,2050,1214,False,0.5283,
bootstrap,71,,106,61,2723,1181,False,0.4989,
bootstrap,72,,108,59,2074,1702,False,0.4410,
bootstrap,73,,101,66,2744,1480,False,0.5047,
bootstrap,74,,111,56,2113,1471,False,0.5404,
bootstrap,75,,107,60,2152,1688,False,0.5118,
bootstrap,76,,101,66,2690,1534,False,0.5356,
bootstrap,77,,108,59,2428,1348,False,0.5595,
bootstrap,78,,103,64,2455,1641,False,0.5172,
bootstrap,79,,107,60,2287,1553,False,0.4917,
bootstrap,80,,110,57,2209,1439,False,0.5353,
bootstrap,81,,101,66,2555,1669,False,0.4959,
bootstrap,82,,102,65,2470,1690,False,0.5354,
bootstrap,83,,100,67,2615,1673,False,0.4957,
bootstrap,84,,113,54,2075,1381,False,0.5504,
bootstrap,85,,109,58,2157,1555,False,0.5195,
bootstrap,86,,110,57,2413,1235,False,0.4475,
bootstrap,87,,107,60,2102,1738,False,0.5166,
bootstrap,88,,108,59,2127,1649,False,0.4751,
bootstrap,89,,102,65,2461,1699,False,0.5294,
bootstrap,90,,105,62,2387,1581,False,0.5722,
bootstrap,91,,100,67,2626,1662,False,0.5259,
bootstrap,92,,103,64,2440,1656,False,0.5223,
bootstrap,93,,113,54,2206,1250,False,0.5556,
bootstrap,94,,107,60,2603,1237,False,0.5374,
bootstrap,95,,103,64,2554,1542,False,0.5294,
bootstrap,96,,99,68,2396,1956,False,0.4698,
bootstrap,97,,110,57,2137,1511,False,0.5121,
bootstrap,98,,109,58,2120,1592,False,0.4845,
bootstrap,99,,108,59,2419,1357,False,0.5560,
leave_dataset_out,0,,142,25,735,865,False,0.4542,0.4664
