method_id,n_explained_runs,max_reconstruction_error,mean_reconstruction_error,max_component_error,mean_component_error
es_svd_math_rr_r1,1795,7.105427357601002e-14,1.2105946081550565e-14,82.73575568692472,49.99216624837836
es_svd_ms_rr_r1,5434,7.105427357601002e-14,5.213165195810275e-15,82.73575568692472,21.684146858622476
es_svd_science_rr_r1,3639,2.1316282072803006e-14,1.813181219469571e-15,26.280131219856543,7.720724268731897
