row_kind,domain,model_name,display_name,representation,anchor_pct,id_auc_of_auroc,id_auc_of_selacc,id_auroc_at_100,id_stop_acc_at_100,holdout_anchor_auroc,holdout_anchor_group_top1,cv_mean_auroc,n_valid_scores,best_c,best_class_weight,best_penalty,best_l1_ratio,solver,fit_seed,seed_count_used,n_train_samples,n_holdout_samples,n_holdout_groups,active_dims,top_positive_features,top_negative_features,top_base_features,top_families,sparse_zero_fraction,ood_protocol,ood_fold_count,ood_macro_auc_of_auroc,ood_macro_auc_of_selacc,ood_macro_auroc_at_100,ood_macro_stop_acc_at_100,abs_gap_auc_of_auroc,abs_gap_auroc_at_100,svd_reference_method,svd_reference_id_auc_of_auroc,svd_reference_id_auroc_at_100,delta_vs_svd_id_auc_of_auroc,delta_vs_svd_id_auroc_at_100
anchor_route,math,lr_rank,Logistic Regression (rank),rank,10,nan,nan,nan,nan,0.9180068999845523,0.8125,0.5876493556183456,3,0.1,balanced,l2,,lbfgs,42,1,11648,1792,16,22,traj_reflection_count::rank:1.0564; tok_conf_prefix::rank:0.7996; traj_continuity::rank:0.2635; tok_neg_entropy_prefix::rank:0.2394; tok_selfcert_prefix::rank:0.2394,traj_novelty::rank:-0.6685; tok_logprob_prefix::rank:-0.6250; tok_gini_prefix::rank:-0.4340; tok_gini_slope::rank:-0.1734; tok_conf_recency::rank:-0.1506,traj_reflection_count:1.0564; tok_conf_prefix:0.7996; traj_novelty:0.6685; tok_logprob_prefix:0.6250; tok_gini_prefix:0.4340,trajectory:2.1571; self_cert_logprob:0.9997; confidence:0.9502; uncertainty:0.9055; availability_meta:0.0550,0.0,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_rank,Logistic Regression (rank),rank,40,nan,nan,nan,nan,0.950668829348392,0.75,0.6060078204149982,3,0.1,balanced,l2,,lbfgs,42,1,11648,1792,16,22,traj_reflection_count::rank:1.1922; traj_continuity::rank:0.5796; tok_conf_prefix::rank:0.3048; tok_neg_entropy_prefix::rank:0.1828; tok_selfcert_prefix::rank:0.1828,tok_gini_prefix::rank:-0.8767; traj_novelty::rank:-0.5047; tok_logprob_prefix::rank:-0.2195; tok_gini_slope::rank:-0.1079; tok_gini_tail::rank:-0.0650,traj_reflection_count:1.1922; tok_gini_prefix:0.8767; traj_continuity:0.5796; traj_novelty:0.5047; tok_conf_prefix:0.3048,trajectory:2.4481; uncertainty:1.4137; self_cert_logprob:0.6278; confidence:0.4304; availability_meta:0.0217,0.0,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_rank,Logistic Regression (rank),rank,70,nan,nan,nan,nan,0.9374510106818169,0.75,0.6186385937548418,3,0.1,balanced,l2,,lbfgs,42,1,11648,1792,16,22,traj_reflection_count::rank:1.1111; tok_conf_recency::rank:0.7239; traj_continuity::rank:0.5725; tok_logprob_recency::rank:0.3166; traj_max_reflection::rank:0.1932,tok_gini_prefix::rank:-0.7938; traj_novelty::rank:-0.2590; tok_gini_slope::rank:-0.1289; traj_late_convergence::rank:-0.0936; tok_neg_entropy_recency::rank:-0.0565,traj_reflection_count:1.1111; tok_gini_prefix:0.7938; tok_conf_recency:0.7239; traj_continuity:0.5725; tok_logprob_recency:0.3166,trajectory:2.2293; uncertainty:1.0427; confidence:0.7742; self_cert_logprob:0.4182; availability_meta:0.0621,0.0,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_rank,Logistic Regression (rank),rank,100,nan,nan,nan,nan,0.9503956334426117,0.8125,0.639835923057313,3,1.0,balanced,l2,,lbfgs,42,1,11648,1792,16,22,tok_conf_recency::rank:3.9844; traj_reflection_count::rank:0.8706; traj_continuity::rank:0.3519; traj_max_reflection::rank:0.1108; tok_logprob_recency::rank:0.1080,tok_conf_prefix::rank:-2.6441; tok_gini_prefix::rank:-0.4645; traj_late_convergence::rank:-0.3599; tok_neg_entropy_prefix::rank:-0.2617; tok_selfcert_prefix::rank:-0.2617,tok_conf_recency:3.9844; tok_conf_prefix:2.6441; traj_reflection_count:0.8706; tok_gini_prefix:0.4645; traj_late_convergence:0.3599,confidence:6.6285; trajectory:1.7584; uncertainty:1.0323; self_cert_logprob:0.4536; availability_meta:0.2349,0.0,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw_rank,Logistic Regression (raw+rank),raw+rank,10,nan,nan,nan,nan,0.9063452967393855,0.75,0.9157556783864101,3,1.0,none,l2,,lbfgs,42,1,11648,1792,16,38,tok_gini_prefix::raw:8.6622; tok_neg_entropy_prefix::raw:4.1469; tok_selfcert_prefix::raw:4.1469; traj_novelty::rank:2.4216; traj_max_reflection::raw:2.3080,traj_novelty::raw:-108.3994; tok_logprob_recency::raw:-18.4766; tok_logprob_prefix::raw:-8.3401; traj_continuity::raw:-5.6745; traj_reflection_count::rank:-3.1008,traj_novelty:110.8209; tok_logprob_recency:20.6859; tok_logprob_prefix:9.4909; tok_gini_prefix:9.3065; traj_continuity:5.7629,trajectory:125.1077; self_cert_logprob:35.0180; uncertainty:17.6886; confidence:5.0455; availability_meta:0.6847,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw_rank,Logistic Regression (raw+rank),raw+rank,40,nan,nan,nan,nan,0.9604867178158059,0.75,0.9539670751038319,3,1.0,none,l2,,lbfgs,42,1,11648,1792,16,38,tok_selfcert_prefix::raw:5.4302; tok_neg_entropy_prefix::raw:5.4302; tok_neg_entropy_recency::raw:4.9034; tok_selfcert_recency::raw:4.9034; tok_gini_slope::raw:2.7317,traj_novelty::raw:-150.1272; tok_logprob_prefix::raw:-26.4525; tok_logprob_recency::raw:-26.0015; traj_continuity::raw:-19.2346; tok_gini_prefix::raw:-5.7906,traj_novelty:152.7173; tok_logprob_prefix:27.2642; tok_logprob_recency:27.1818; traj_continuity:19.8604; tok_gini_prefix:7.6337,trajectory:176.9302; self_cert_logprob:65.3369; uncertainty:23.9794; confidence:3.3433; availability_meta:0.1839,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw_rank,Logistic Regression (raw+rank),raw+rank,70,nan,nan,nan,nan,0.9675182941132718,0.75,0.9614548519503233,3,10.0,none,l2,,lbfgs,42,1,11648,1792,16,38,tok_selfcert_prefix::raw:15.4340; tok_neg_entropy_prefix::raw:15.4340; tok_selfcert_recency::raw:14.8009; tok_neg_entropy_recency::raw:14.8009; tok_conf_recency::raw:7.7132,traj_novelty::raw:-130.0209; tok_logprob_prefix::raw:-57.4124; tok_gini_prefix::raw:-55.9092; tok_logprob_recency::raw:-21.4886; tok_gini_slope::raw:-11.1774,traj_novelty:132.2456; tok_logprob_prefix:59.5524; tok_gini_prefix:57.1408; tok_logprob_recency:22.9076; tok_selfcert_prefix:16.2103,trajectory:144.5488; self_cert_logprob:114.8189; uncertainty:101.3519; confidence:15.1763; availability_meta:0.1107,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw_rank,Logistic Regression (raw+rank),raw+rank,100,nan,nan,nan,nan,0.9760088223683081,0.8125,0.9678192000915692,3,10.0,none,l2,,lbfgs,42,1,11648,1792,16,38,tok_neg_entropy_prefix::raw:23.5376; tok_selfcert_prefix::raw:23.5376; tok_neg_entropy_recency::raw:20.8137; tok_selfcert_recency::raw:20.8137; tok_conf_recency::raw:12.4882,traj_novelty::raw:-106.6374; tok_gini_prefix::raw:-83.5211; tok_logprob_prefix::raw:-50.9866; tok_logprob_recency::raw:-45.3787; tok_gini_slope::raw:-16.0503,traj_novelty:108.7839; tok_gini_prefix:83.7119; tok_logprob_prefix:54.9354; tok_logprob_recency:46.6325; tok_neg_entropy_prefix:23.7032,uncertainty:160.7450; self_cert_logprob:147.1512; trajectory:123.0201; confidence:34.7182; availability_meta:0.9608,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,elasticnet_lr_raw_rank,Elastic-Net Logistic Regression (raw+rank),raw+rank,10,nan,nan,nan,nan,0.906039202897307,0.75,0.9163056309247453,9,1.0,none,elasticnet,0.9,saga,42,3,11648,1792,16,33,tok_gini_prefix::raw:7.1744; tok_neg_entropy_prefix::raw:4.2803; tok_selfcert_prefix::raw:4.2803; traj_novelty::rank:2.4839; traj_max_reflection::raw:2.1790,traj_novelty::raw:-110.8818; tok_logprob_recency::raw:-27.3506; traj_continuity::raw:-6.6061; traj_reflection_count::rank:-3.1580; tok_conf_recency::rank:-1.2982,traj_novelty:113.3657; tok_logprob_recency:28.8517; tok_gini_prefix:7.7513; traj_continuity:6.7155; tok_neg_entropy_prefix:4.2803,trajectory:128.4231; self_cert_logprob:33.6255; uncertainty:15.2187; confidence:3.3286; availability_meta:0.6486,0.25,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,elasticnet_lr_raw_rank,Elastic-Net Logistic Regression (raw+rank),raw+rank,40,nan,nan,nan,nan,0.9603193674442022,0.75,0.9542520363417784,9,1.0,none,elasticnet,0.9,saga,42,3,11648,1792,16,34,tok_selfcert_prefix::raw:9.2577; tok_neg_entropy_prefix::raw:9.2577; traj_novelty::rank:2.7649; tok_gini_slope::raw:2.5422; tok_conf_recency::raw:1.8540,traj_novelty::raw:-157.7753; tok_logprob_recency::raw:-27.7719; tok_logprob_prefix::raw:-26.4438; traj_continuity::raw:-22.7234; traj_reflection_count::rank:-2.5914,traj_novelty:160.5402; tok_logprob_recency:29.3472; tok_logprob_prefix:26.9778; traj_continuity:23.4186; tok_selfcert_prefix:9.2577,trajectory:187.6064; self_cert_logprob:66.0343; uncertainty:16.3200; confidence:3.4240; availability_meta:0.1281,0.2272727272727273,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
