domain,condition,n_feat,modeling,metric,mean,std,n_folds_valid,n_folds_degenerate,n_samples,n_groups
coding,nc_only,8,svd_r12,balanced_acc,0.5009,0.0000,5,0,10688,167
coding,nc_only,8,svd_r12,stop_acc,0.5749,0.0000,5,0,10688,167
coding,canonical_plus_prefix,27,no_svd,auroc,0.4912,0.0810,5,0,10688,167
coding,canonical_plus_prefix,27,no_svd,balanced_acc,0.4950,0.0000,5,0,10688,167
coding,canonical_plus_prefix,27,no_svd,stop_acc,0.5697,0.0000,5,0,10688,167
coding,canonical_plus_prefix,27,svd_r12,auroc,0.5011,0.0839,5,0,10688,167
coding,canonical_plus_prefix,27,svd_r12,balanced_acc,0.5033,0.0000,5,0,10688,167
coding,canonical_plus_prefix,27,svd_r12,stop_acc,0.5936,0.0000,5,0,10688,167
coding,all_available,29,no_svd,auroc,0.5058,0.0740,5,0,10688,167
coding,all_available,29,no_svd,balanced_acc,0.5149,0.0000,5,0,10688,167
coding,all_available,29,no_svd,stop_acc,0.5873,0.0000,5,0,10688,167
coding,all_available,29,svd_r12,auroc,0.5001,0.0894,5,0,10688,167
coding,all_available,29,svd_r12,balanced_acc,0.5033,0.0000,5,0,10688,167
coding,all_available,29,svd_r12,stop_acc,0.5458,0.0000,5,0,10688,167
