signal,note,auroc,auprc,brier,logloss,n_folds
tok_conf_prefix,higher=more confident,0.4947497602245363,0.5857190351676469,0.3495400654008206,0.9643041671377164,5
tok_logprob_prefix,higher=higher prob,0.5122225552277483,0.5964636652196609,0.3079115870715989,0.8411063229752609,5
tok_neg_entropy_prefix,neg means certain,0.5121524935408565,0.5950719990319915,0.30776995342370583,0.8428473993480162,5
tok_gini_prefix,lower=more concentrated,0.521067602114195,0.5982256698151962,0.31700373712694985,0.8656490581895053,5
tok_selfcert_prefix,higher=more certain,0.5121524935408565,0.5950719990319915,0.3077699534237056,0.8428473993480159,5
tok_gini_tail,tail=last 10%,0.49538824881927523,0.5860838342728485,0.2743872210725695,0.769051226584214,5
tok_gini_slope,slope: head minus tail,0.4997070309279864,0.595783287069538,0.27019065281510707,0.7481706855739055,5
head_tail_gap,conf head minus tail,0.5,0.5872743983957219,0.25,0.6931471805599453,5
tail_variance,conf variance in tail,0.5,0.5872743983957219,0.25,0.6931471805599453,5
traj_continuity,higher=more consistent,0.4855450067497121,0.5813522880929689,0.4030809423747469,1.1564585989810738,5
traj_reflection_count,neg of count,0.46619268591287677,0.5613030877363487,0.2872466185159464,0.848953649727056,5
response_token_count,total tokens,0.5349346420338773,0.6044933228893689,0.29339512385040234,0.9176536485643005,5
at_max_tokens,binary: hit limit,0.49706284139864065,0.5877895045059474,0.5860544786096257,9.446082184302096,5
trigram_repetition_rate,lower=less repetitive,0.4736459895747777,0.5649993742537223,0.3661794135552431,0.9888785700091043,5
unique_token_fraction,higher=less repetitive,0.48043190259310153,0.5737786162152542,0.4853206718077406,1.534338740419519,5
tok_conf_early_vs_late_gap,early minus late conf,0.5077406712271209,0.6125933774265796,0.28421052500398536,0.7824625971572319,5
tok_conf_section_late,late third conf mean,0.4787642461061388,0.57927059302339,0.33570625285494426,0.9322882072756864,5
