seed,bundle,anchor_pct,target_pool,method,head,rank,c_value,class_weight,source_val_pairwise,source_val_hit1,source_val_auroc,source_val_selacc10,rotation_norm,orth_error,alignment_gap,target_label_status,target_score_mean,target_score_std,target_score_corr_vs_no_rotation,target_top1_agreement_vs_no_rotation,target_top1_flip_rate_vs_no_rotation,target_mean_abs_score_delta_vs_no_rotation,alignment_gap_before,alignment_gap_after,alignment_gap_delta,qwen_pairwise,qwen_hit1,qwen_auroc,fit__matched_to_learned_norm,fit__align_weight,fit__best_step,fit__eval_every,fit__identity_weight,fit__lr,fit__steps
42,token_only,70,Qwen3-4B/lcb_v5,no_rotation,pointwise,16,1.0,none,0.5076663607124623,0.58,0.5618304212376537,0.582857142857143,0.0,0.0,706.8871936635221,unlabeled_proxy_only,12.031934620807471,0.7974979174128272,1.0,1.0,0.0,0.0,706.8871936635221,706.8871936635221,0.0,nan,nan,nan,,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,random_rotation_control,pointwise,16,1.0,none,0.564817290237259,0.62,0.5439229250792652,0.6142857142857143,4.81188749742718,1.675468032379173e-15,707.1072147915922,unlabeled_proxy_only,-7.715700591455631,1.256521020749512,-0.533719705688782,0.08982035928143713,0.9101796407185628,19.7476352122631,706.8871936635221,707.1072147915922,0.22002112807012963,nan,nan,nan,4.81188749742718,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,learned_rotation,pointwise,16,1.0,none,0.5481982525501582,0.54,0.5071964386049014,0.5771428571428571,4.81188749742718,1.97490656345412e-15,706.5191541753136,unlabeled_proxy_only,3.6626621792327443,1.0605561587352321,-0.7177893815385405,0.0,1.0,8.369272441574724,706.8871936635221,706.5191541753136,-0.36803948820852384,nan,nan,nan,,0.05,40,10,0.3,0.05,80
42,token_only,70,Qwen3-4B/lcb_v5,no_rotation,pairwise,4,0.1,none,0.4951610533071629,0.52,0.4650874910242255,0.5657142857142857,0.0,0.0,968.0288829944842,unlabeled_proxy_only,-12.08861521638482,0.3388416387646128,1.0,1.0,0.0,0.0,968.0288829944842,968.0288829944842,0.0,nan,nan,nan,,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,random_rotation_control,pairwise,4,0.1,none,0.507016719916642,0.54,0.46516037851837344,0.5542857142857143,0.4323582215366613,2.3019299023242564e-16,968.0871843171236,unlabeled_proxy_only,-12.52205226730513,0.3201428521983229,0.9845695297261284,0.6107784431137725,0.3892215568862275,0.43343705092031104,968.0288829944842,968.0871843171236,0.05830132263940868,nan,nan,nan,0.4323582215366613,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,learned_rotation,pairwise,4,0.1,none,0.5225258311745129,0.56,0.46772225379345367,0.5685714285714285,0.4323582215366613,2.4963035680378313e-16,967.2112670543421,unlabeled_proxy_only,-13.013124730359554,0.3151053745782422,0.9360643331097255,0.4251497005988024,0.5748502994011976,0.9245095139747334,968.0288829944842,967.2112670543421,-0.8176159401421046,nan,nan,nan,,0.05,40,10,1.0,0.05,80
42,token_only,100,Qwen3-4B/lcb_v5,no_rotation,pointwise,4,1.0,balanced,0.49152833297307946,0.62,0.4471335391003361,0.5628571428571428,0.0,0.0,1139.4189185370014,unlabeled_proxy_only,-1.4569163937796947,0.046242081657187684,0.9999999999999999,1.0,0.0,0.0,1139.4189185370014,1139.4189185370014,0.0,nan,nan,nan,,,,,,,
42,token_only,100,Qwen3-4B/lcb_v5,random_rotation_control,pointwise,4,1.0,balanced,0.505745688320079,0.58,0.4588856463298544,0.5857142857142857,2.3624359787378033,3.6345509874995616e-16,1144.476196719116,unlabeled_proxy_only,-1.5011328338075327,0.043223164389311494,0.4600382225775345,0.005988023952095809,0.9940119760479041,0.05245309339286605,1139.4189185370014,1144.476196719116,5.057278182114487,nan,nan,nan,2.3624359787378033,,,,,,
42,token_only,100,Qwen3-4B/lcb_v5,learned_rotation,pointwise,4,1.0,balanced,0.5215455062622455,0.52,0.4873734430810745,0.5657142857142857,2.3624359787378033,6.168830479405944e-16,1136.9780229424173,unlabeled_proxy_only,-0.7285190845365214,0.05055756744216121,0.11762705011692462,0.005988023952095809,0.9940119760479041,0.7283973092431734,1139.4189185370014,1136.9780229424173,-2.4408955945841626,nan,nan,nan,,0.25,10,10,0.3,0.05,80
42,token_only,100,Qwen3-4B/lcb_v5,no_rotation,pairwise,16,0.5,none,0.47914130756591405,0.58,0.4752673108799803,0.5857142857142857,0.0,0.0,783.029473875196,unlabeled_proxy_only,-53.54649484965654,0.5070390180290664,1.0,1.0,0.0,0.0,783.029473875196,783.029473875196,0.0,nan,nan,nan,,,,,,,
