condition_id,domain,seed,model_name,model_kind,rank,feature_count,representation_dim,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0_6,num_caches,samples,mean_anchor_cv_auroc,trained_anchor_count,fallback_anchor_count,inference_time_sec,layer,condition_label,description,base_feature_count,decoy_family,decoy_level
trajectory_only,coding,43,no_svd,no_svd,,5,10,0.5243624919681258,0.52125,0.5825020050372163,0.6,,1,1600,0.5566271280539645,4,0,0.04992859601043165,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
trajectory_only,coding,43,svd_r4,svd,4,5,10,0.5029297775776649,0.47062499999999996,0.4963690456648203,0.52,,1,1600,0.5217537505591097,4,0,0.058337234891951084,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
trajectory_only,coding,43,svd_r8,svd,8,5,10,0.4524023707122299,0.368125,0.4832710325668072,0.56,,1,1600,0.5320042477581546,4,0,0.05952215986326337,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
trajectory_only,coding,44,no_svd,no_svd,,5,10,0.5243624919681258,0.52125,0.5825020050372163,0.6,,1,1600,0.5566271280539645,4,0,0.05118473805487156,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
trajectory_only,coding,44,svd_r4,svd,4,5,10,0.5029297775776649,0.47062499999999996,0.4963690456648203,0.52,,1,1600,0.5217537505591097,4,0,0.05881053605116904,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
trajectory_only,coding,44,svd_r8,svd,8,5,10,0.4524023707122299,0.368125,0.4832710325668072,0.56,,1,1600,0.5320042477581546,4,0,0.05929526314139366,canonical,L1 trajectory-only,Only the 5 trajectory-shape features.,5,,
uncertainty_only,math,42,no_svd,no_svd,,7,14,0.7473818648420867,0.9423076923076924,0.8284216342427752,0.7142857142857143,0.1,7,1792,0.736783695556063,4,0,0.08734191907569766,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,42,svd_r4,svd,4,7,14,0.6669939758279331,0.9313186813186813,0.6396491180940073,0.6785714285714286,0.1,7,1792,0.6530523861154324,4,0,0.09689671196974814,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,42,svd_r8,svd,8,7,14,0.7560725215835866,0.948901098901099,0.8010597160267656,0.7142857142857143,0.1,7,1792,0.7290397476655246,4,0,0.09618281596340239,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,42,svd_r12,svd,12,7,14,0.7528401213200636,0.937912087912088,0.8280919071521347,0.7142857142857143,0.1,7,1792,0.7388840794568132,4,0,0.09556696191430092,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
