experiment_type,route_label,method_id,anchor_pct,rank_spec,n_problem_slices,n_samples,base_auroc,base_selacc_10,mean_abs_share_top1_k1,mean_abs_share_top1_k2,mean_abs_share_top1_k4,policy,k,intervened_auroc,intervened_auroc_std,intervened_selacc_10,intervened_selacc_10_std,auroc_drop,auroc_drop_std,selacc_drop,selacc_drop_std,mean_top1_score_drop,mean_top1_score_drop_std,median_top1_score_drop,median_top1_score_drop_std,mean_removed_abs_share_top1,mean_removed_abs_share_top1_std,mean_removed_abs_contribution_top1,mean_removed_abs_contribution_top1_std,top1_flip_rate,top1_flip_rate_std,decision_flip_rate,decision_flip_rate_std,n_repeats,subset_kind,epsilon,n_selected,monotonic_fraction,mean_score_delta,median_score_delta
route_selection,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,0.29936522252167125,0.47596916101432285,0.7074867645865188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,top,1,0.7949299989129378,0.0,0.9944444444444445,0.0,0.1864082891356711,0.0,0.0,0.0,2.167069598481049,0.0,3.286602004928472,0.0,0.29936522252167125,0.0,3.898874659087736,0.0,0.9285714285714286,0.0,0.39285714285714285,0.0,1,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,random,1,0.9691633697213116,0.002122047765635583,0.9960069444444445,0.002857999589089283,0.012174918327297335,0.002122047765635583,-0.0015625000000000222,0.002857999589089283,0.2036712067887733,0.2176999900298483,0.00946210588642746,0.07483464620152155,0.06312350488555407,0.014230159902915476,0.8043693285587636,0.1921590717728925,0.8314732142857142,0.05938297140367424,0.3861607142857143,0.09425353719070273,32,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,bottom,1,0.9813239845980445,0.0,0.9944444444444445,0.0,1.4303450564412401e-05,0.0,0.0,0.0,0.0008282333753445507,0.0,0.0005269241458183416,0.0,0.0004886560721228354,0.0,0.0061344806381861865,0.0,0.0,0.0,0.0,0.0,1,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,top,2,0.7064989157984473,0.0,0.9055555555555556,0.0,0.27483937225016164,0.0,0.0888888888888889,0.0,2.760145515563046,0.0,3.1611354907415614,0.0,0.4759691610143228,0.0,6.145593285078071,0.0,0.9285714285714286,0.0,0.5,0.0,1,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,random,2,0.9527076074332173,0.003152655008437669,0.9958333333333333,0.002777777777777768,0.028630680615391646,0.003152655008437669,-0.001388888888888884,0.002777777777777768,0.30225436658047056,0.3684994460565326,0.07946868438042745,0.32409023575620627,0.13065620607004652,0.02317603037215496,1.6717217604618693,0.3042748232463529,0.8370535714285714,0.05201419731129932,0.45535714285714285,0.096163657270259,32,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,bottom,2,0.9812953776969155,0.0,0.9944444444444445,0.0,4.2910351693348225e-05,0.0,0.0,0.0,-0.00116178673029014,0.0,-0.0015536160859741521,0.0,0.0023450767087206162,0.0,0.02928948778715647,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,1,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,top,4,0.6736338774365928,0.0,0.9444444444444444,0.0,0.30770441061201614,0.0,0.050000000000000044,0.0,2.6799317460186494,0.0,3.35360917824359,0.0,0.7074867645865188,0.0,9.069538900180605,0.0,1.0,0.0,0.5357142857142857,0.0,1,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,random,4,0.9143805282836431,0.005487846203417126,0.9946180555555555,0.0037996646924026408,0.06695775976496576,0.005487846203417126,-0.00017361111111102723,0.0037996646924026408,0.7153345513889346,0.45683683533803987,0.4114030585223172,0.5147760893058922,0.2551994538721041,0.025951691139816234,3.2548510285344325,0.3462767609145094,0.8883928571428572,0.05412658773652744,0.49107142857142855,0.08328017011686442,32,,,,,,
ablation,math,es_svd_math_rr_r1,100,math:16,28,1792,0.9813382880486089,0.9944444444444445,,,,bottom,4,0.9812510370001659,0.0,0.9944444444444445,0.0,8.725104844298226e-05,0.0,0.0,0.0,-0.032340958411104855,0.0,-0.028248080955171506,0.0,0.013643308402562131,0.0,0.16975565165507936,0.0,0.10714285714285714,0.0,0.03571428571428571,0.0,1,,,,,,
