condition,protocol,seed_or_iter,fold,is_degenerate,auroc
canonical_plus_nc,repeated_gkf,0,0,False,0.5933
canonical_plus_nc,repeated_gkf,0,1,False,0.4883
canonical_plus_nc,repeated_gkf,0,2,False,0.4778
canonical_plus_nc,repeated_gkf,0,3,False,0.5490
canonical_plus_nc,repeated_gkf,0,4,False,0.4987
canonical_plus_nc,repeated_gkf,1,0,False,0.5743
canonical_plus_nc,repeated_gkf,1,1,False,0.4906
canonical_plus_nc,repeated_gkf,1,2,False,0.5872
canonical_plus_nc,repeated_gkf,1,3,False,0.4723
canonical_plus_nc,repeated_gkf,1,4,False,0.5837
canonical_plus_nc,repeated_gkf,2,0,False,0.4801
canonical_plus_nc,repeated_gkf,2,1,False,0.5046
canonical_plus_nc,repeated_gkf,2,2,False,0.5372
canonical_plus_nc,repeated_gkf,2,3,False,0.6110
canonical_plus_nc,repeated_gkf,2,4,False,0.4413
canonical_plus_nc,repeated_gkf,3,0,False,0.5735
canonical_plus_nc,repeated_gkf,3,1,False,0.6204
canonical_plus_nc,repeated_gkf,3,2,False,0.5642
canonical_plus_nc,repeated_gkf,3,3,False,0.4818
canonical_plus_nc,repeated_gkf,3,4,False,0.4075
canonical_plus_nc,repeated_gkf,4,0,False,0.4804
canonical_plus_nc,repeated_gkf,4,1,False,0.4960
canonical_plus_nc,repeated_gkf,4,2,False,0.5530
canonical_plus_nc,repeated_gkf,4,3,False,0.5376
canonical_plus_nc,repeated_gkf,4,4,False,0.5972
canonical_plus_nc,repeated_gkf,5,0,False,0.6452
canonical_plus_nc,repeated_gkf,5,1,False,0.5550
canonical_plus_nc,repeated_gkf,5,2,False,0.5053
canonical_plus_nc,repeated_gkf,5,3,False,0.4743
canonical_plus_nc,repeated_gkf,5,4,False,0.5333
canonical_plus_nc,repeated_gkf,6,0,False,0.4694
canonical_plus_nc,repeated_gkf,6,1,False,0.5325
canonical_plus_nc,repeated_gkf,6,2,False,0.5125
canonical_plus_nc,repeated_gkf,6,3,False,0.5241
