seed,bundle,anchor_pct,target_pool,method,head,rank,c_value,class_weight,source_val_pairwise,source_val_hit1,source_val_auroc,source_val_selacc10,rotation_norm,orth_error,alignment_gap,target_label_status,target_score_mean,target_score_std,target_score_corr_vs_no_rotation,target_top1_agreement_vs_no_rotation,target_top1_flip_rate_vs_no_rotation,target_mean_abs_score_delta_vs_no_rotation,alignment_gap_before,alignment_gap_after,alignment_gap_delta,qwen_pairwise,qwen_hit1,qwen_auroc,fit__matched_to_learned_norm,fit__align_weight,fit__best_step,fit__eval_every,fit__identity_weight,fit__lr,fit__steps
42,token_only,70,Qwen3-4B/lcb_v5,no_rotation,pointwise,4,0.1,none,0.5072989072506698,0.52,0.48306226794644286,0.5742857142857143,0.0,0.0,968.0288829944842,unlabeled_proxy_only,-1.8679015592632453,0.06545867384654051,0.9999999999999998,1.0,0.0,0.0,968.0288829944842,968.0288829944842,0.0,nan,nan,nan,,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,random_rotation_control,pointwise,4,0.1,none,0.5052110587086854,0.52,0.4913422071855055,0.5771428571428571,0.8855689336033974,3.86424733804512e-16,968.4897984018563,unlabeled_proxy_only,-2.059754931998276,0.0684037474409799,0.5516390072010376,0.005988023952095809,0.9940119760479041,0.19185337273503125,968.0288829944842,968.4897984018563,0.4609154073721129,nan,nan,nan,0.8855689336033974,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,learned_rotation,pointwise,4,0.1,none,0.5246497324982268,0.54,0.4920013984787339,0.58,0.8855689336033974,2.809935773234192e-16,967.0980136340615,unlabeled_proxy_only,-1.719035294476148,0.07672420900134802,0.5105613087095061,0.011976047904191617,0.9880239520958084,0.14891399321342,968.0288829944842,967.0980136340615,-0.9308693604226619,nan,nan,nan,,0.05,5,5,1.0,0.05,20
42,token_only,70,Qwen3-4B/lcb_v5,no_rotation,pairwise,4,0.1,none,0.4951610533071629,0.52,0.4650874910242255,0.5657142857142857,0.0,0.0,968.0288829944842,unlabeled_proxy_only,-12.08861521638482,0.3388416387646128,1.0,1.0,0.0,0.0,968.0288829944842,968.0288829944842,0.0,nan,nan,nan,,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,random_rotation_control,pairwise,4,0.1,none,0.5140320277045797,0.54,0.46852762055571506,0.5771428571428571,0.824394729633387,4.0779773419303474e-16,968.4166597862941,unlabeled_proxy_only,-12.851173513539399,0.3093254674190777,0.9334572380642663,0.3592814371257485,0.6407185628742516,0.7625582971545779,968.0288829944842,968.4166597862941,0.3877767918098698,nan,nan,nan,0.824394729633387,,,,,,
42,token_only,70,Qwen3-4B/lcb_v5,learned_rotation,pairwise,4,0.1,none,0.5219108762605377,0.54,0.47149998858629893,0.5771428571428572,0.824394729633387,3.620718163477384e-16,967.0570417097055,unlabeled_proxy_only,-11.5792242361615,0.28985884348561175,0.833115257723895,0.2155688622754491,0.7844311377245509,0.5093909802233199,968.0288829944842,967.0570417097055,-0.9718412847787476,nan,nan,nan,,0.05,15,5,0.1,0.05,20
