anchor_pct,basis_mode,basis_rank,basis_whiten,cv_auroc,cv_hit@1,cv_hit@3,cv_mrr,cv_n_valid_folds,cv_ndcg@3,cv_pairwise_acc,cv_selacc@10%,dataset_scope,domain,feature_family,group_filtering_logic,holdout_auroc,holdout_hit@1,holdout_hit@3,holdout_mrr,holdout_n_problems,holdout_n_samples,holdout_ndcg@3,holdout_pairwise_acc,holdout_selacc@10%,holdout_split,holdout_stop_acc,model__c_value,model__class_weight,model__colsample_bytree,model__learning_rate,model__loss,model__max_depth,model__min_child_weight,model__n_estimators,model__reg_lambda,model__subsample,model_name,objective,optimized_metric,pairing_logic,representation,split_seed,task_family,task_key,train_n_problems,train_n_samples
10,frozen_z,16,0,0.8407223709669401,0.7276422764227642,0.8512195121951219,0.7997700851343247,3,0.7457213766842198,0.746151610080461,0.9807806558935361,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.866751881513657,0.7777777777777778,0.8333333333333334,0.8196203371830612,18,1152,0.8072622929987356,0.750228171585032,0.9913793103448276,0.15,0.7777777777777778,1.0,balanced,,,,,,,,,pointwise_logistic_frozen_z,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_math_10,121,7744
10,raw_features,,,0.6857527380931113,0.7441056910569106,0.8180894308943089,0.7903333349414602,3,0.7210159531027255,0.7106918031412542,0.8646328422053232,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.7023098502330212,0.8333333333333334,0.8333333333333334,0.8424036281179138,18,1152,0.8168843382796741,0.7155460906601765,0.9396551724137931,0.15,0.8333333333333334,,,0.8,0.05,,4,2.0,160,2.0,0.9,xgboost_rank_ndcg,rank:ndcg,cv_pairwise_acc,"within-problem query groups with relevance labels {0,1}; no cross-problem mixing",raw+rank,42,earlystop,earlystop_math_10,121,7744
10,raw_features,,,0.5803058533208674,0.5325203252032521,0.7032520325203251,0.6340127086349643,3,0.5418144065358632,0.5557204001702647,0.6825396825396824,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6571487526161163,0.5428571428571428,0.6571428571428571,0.64914236630762,35,2240,0.581643555969153,0.5365638357182679,0.8258928571428571,0.15,0.5428571428571428,1.0,,,,squared_hinge,,,,,,pairwise_linear_svm,pairwise_linear_svm,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_10,246,15744
10,raw_features,,,0.5814441176808093,0.5447154471544716,0.6910569105691057,0.6411234657962055,3,0.5490189296610909,0.5559609656598631,0.6761904761904763,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6547815563394351,0.5428571428571428,0.6571428571428571,0.647467478219358,35,2240,0.5548276287678525,0.5360992380598402,0.8348214285714286,0.15,0.5428571428571428,0.3,,,,,,,,,,pairwise_logistic,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_10,246,15744
10,frozen_z,8,0,0.5600477480937492,0.5325203252032521,0.6991869918699187,0.6385298487905594,3,0.538362457424319,0.5595336259166719,0.6063492063492064,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.5524762625319748,0.5142857142857142,0.7142857142857143,0.6376035747632385,35,2240,0.5428571428571429,0.5355881806355696,0.5982142857142857,0.15,0.5142857142857142,1.0,,,,,,,,,,pairwise_logistic_frozen_z,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_10,246,15744
10,raw_features,,,0.616457765187718,0.5447154471544716,0.6829268292682927,0.6435626799295988,3,0.5459190321583978,0.557744472046171,0.6609523809523808,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6658265617272427,0.6285714285714286,0.7142857142857143,0.6988480287219784,35,2240,0.5813255322889652,0.5206745958000372,0.7678571428571429,0.15,0.6285714285714286,0.2,balanced,,,,,,,,,pointwise_logistic,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_science_10,246,15744
10,frozen_z,16,0,0.6094556601507132,0.5121951219512195,0.6707317073170732,0.6267827976845837,3,0.5389456017659494,0.5576363056524762,0.638095238095238,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6103517959904231,0.5714285714285714,0.7714285714285715,0.6818833118833119,35,2240,0.5781325532288966,0.526203307935328,0.7678571428571429,0.15,0.5714285714285714,1.0,balanced,,,,,,,,,pointwise_logistic_frozen_z,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_science_10,246,15744
10,raw_features,,,0.5245599002177295,0.5365853658536586,0.7154471544715447,0.6419584551208468,3,0.5324724797878201,0.5321408813530887,0.5733333333333334,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.5296918960169528,0.5714285714285714,0.6571428571428571,0.6661773940345369,35,2240,0.5478056232873397,0.534240847426129,0.5758928571428571,0.15,0.5714285714285714,,,0.8,0.05,,4,2.0,160,2.0,0.9,xgboost_rank_ndcg,rank:ndcg,cv_pairwise_acc,"within-problem query groups with relevance labels {0,1}; no cross-problem mixing",raw+rank,42,earlystop,earlystop_science_10,246,15744
40,raw_features,,,0.8181240848490022,0.7689024390243903,0.8924796747967481,0.8349787867113748,3,0.7931072856841452,0.8206004856657683,0.9535755307351077,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.8626457324706273,0.7777777777777778,0.8333333333333334,0.8158533533533533,18,1152,0.7908132979450766,0.8320657134164892,0.9913793103448276,0.15,0.7777777777777778,1.0,,,,squared_hinge,,,,,,pairwise_linear_svm,pairwise_linear_svm,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_math_40,121,7744
40,raw_features,,,0.8297460582503765,0.7691056910569106,0.884349593495935,0.8344347246478935,3,0.7909118017608471,0.8204445021997823,0.9626901140684411,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.8674532072455243,0.7777777777777778,0.8333333333333334,0.8141339869281046,18,1152,0.7908132979450766,0.8294797687861272,0.9913793103448276,0.15,0.7777777777777778,1.0,,,,,,,,,,pairwise_logistic,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_math_40,121,7744
