layer,condition_id,condition_label,domain,model_name,model_kind,rank,feature_count,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,mean_anchor_cv_auroc_mean,mean_anchor_cv_auroc_std,inference_time_sec_mean,inference_time_sec_std,n_rows
canonical,token_plus_trajectory,L1 token + trajectory,math,svd_r12,svd,12,16,0.9564473906832706,0.0,0.9961538461538462,0.0,0.975572673119581,0.0,0.75,0.0,0.9272188263393195,0.0,0.1087845954267929,0.001105849988220855,3
canonical,token_plus_trajectory,L1 token + trajectory,math,svd_r16,svd,16,16,0.958061081533434,0.0,0.9967032967032967,0.0,0.9810782099365106,0.0,0.75,0.0,0.9309858339480663,0.0,0.1090313372357438,0.0006690233140755123,3
canonical,token_plus_trajectory,L1 token + trajectory,math,svd_r24,svd,24,16,0.9593552442627317,1.1102230246251565e-16,0.9978021978021978,0.0,0.9835588067448734,0.0,0.75,0.0,0.9498043162957331,0.0,0.1099095706983159,0.0014295054268275498,3
canonical,token_plus_trajectory,L1 token + trajectory,math,svd_r4,svd,4,16,0.7887737328221999,1.1102230246251565e-16,0.9637362637362639,0.0,0.8136234221195323,0.0,0.7857142857142857,0.0,0.7600298654554168,0.0,0.11182573499778907,0.0004497651419995414,3
canonical,token_plus_trajectory,L1 token + trajectory,math,svd_r8,svd,8,16,0.8990258247800558,0.0,0.9994505494505495,0.0,0.8858639163947798,0.0,0.75,0.0,0.8647420249698282,0.0,0.11015480764520665,0.0005310197887153321,3
canonical,token_plus_trajectory,L1 token + trajectory,science,no_svd,no_svd,,16,0.8341495980677548,1.1102230246251565e-16,0.9851562499999998,1.1102230246251565e-16,0.8762741751025023,0.0,0.6999999999999998,1.1102230246251565e-16,0.7433632693638206,0.0,0.18467127508483827,0.04753541282801026,3
canonical,token_plus_trajectory,L1 token + trajectory,science,svd_r12,svd,12,16,0.7910247244335061,0.0,0.9859375,0.0,0.83767053139201,1.1102230246251565e-16,0.6833333333333332,1.1102230246251565e-16,0.7271432975529795,0.0,0.17165629868395627,0.0006871247711964603,3
canonical,token_plus_trajectory,L1 token + trajectory,science,svd_r16,svd,16,16,0.7982577456177937,0.0,0.9872395833333334,0.0,0.8528264385455117,1.1102230246251565e-16,0.7166666666666665,1.1102230246251565e-16,0.7340353281179323,0.0,0.17112639104016125,0.0014172514101487843,3
canonical,token_plus_trajectory,L1 token + trajectory,science,svd_r24,svd,24,16,0.8354234603178584,1.1102230246251565e-16,0.9817708333333334,1.1102230246251565e-16,0.876240800893823,0.0,0.6999999999999998,1.1102230246251565e-16,0.7443065528891406,0.0,0.1746402413894733,0.0013890817555083082,3
canonical,token_plus_trajectory,L1 token + trajectory,science,svd_r4,svd,4,16,0.7885160396226828,2.939356065742598e-08,0.96640625,0.0,0.822464967697932,1.1102230246251565e-16,0.7333333333333334,0.0,0.648993084515249,0.0,0.1714086486802747,0.0007017901727452843,3
canonical,token_plus_trajectory,L1 token + trajectory,science,svd_r8,svd,8,16,0.7695097039029699,0.0,0.9575520833333334,0.0,0.8261139579786771,0.0,0.7333333333333334,0.0,0.6675895650100402,0.0,0.17494553769938648,0.0009427073427646152,3
canonical,trajectory_only,L1 trajectory-only,coding,no_svd,no_svd,,5,0.5243624919681258,0.0,0.52125,0.0,0.5825020050372163,0.0,0.6,0.0,0.5566271280539645,0.0,0.0513241026395311,0.0012003736754505256,3
